YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2024 Regular Session,SB0310,Department of Planning - State Repository and Clearinghouse for Federal and State Financial and Technical Assistance,"Repealing a requirement that the Department of Planning serve as a repository and clearinghouse for information concerning federal and State grants, loans, and other financial and technical assistance; repealing a requirement that the Department adopt certain regulations and publish certain information in the Maryland Register; and altering a requirement that the Department publish certain information concerning State financial and technical assistance offered through State assistance programs.","The bill repeals certain requirements for the Department of Planning to serve as a repository and clearinghouse for information on federal and state grants, loans, and technical assistance, and modifies how the Department publishes information about State financial and technical assistance programs.",Department of Planning,State government units and organizations seeking federal and State financial and technical assistance,"The bill's changes may streamline information dissemination, potentially aiding small businesses in accessing assistance, but it does not directly target small business failure reduction.",4.0
2024 Regular Session,SB0321,Property Tax - Credit for Hotel or Residential Development Projects,"Authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a tax credit against the county or municipal corporation property tax imposed on real property that is used for certain hotel or residential development projects; and altering eligibility for a certain property tax credit in Wicomico County against the county or municipal corporation property tax imposed on real property that is used for certain hotel or residential development projects.","The bill authorizes local governments in Maryland to grant property tax credits for new or rehabilitated hotel and residential development projects, with specific eligibility criteria and provisions for implementation.","The governing bodies of Baltimore City, counties, and municipal corporations in Maryland.","Hotel developers, residential developers, and communities benefiting from new or rehabilitated hotel and residential projects in Maryland.","The bill could potentially reduce small business failure by incentivizing development projects, but its direct impact on small business failure rates is limited and indirect.",4.0
2024 Regular Session,SB0345,Transportation - Vision Zero - Implementation,Establishing certain standards and requirements for implementing the Vision Zero program under the Maryland Department of Transportation.,"The bill establishes standards and requirements for implementing the Vision Zero program under the Maryland Department of Transportation, with a focus on reducing vehicle-related deaths and serious injuries on roadways by 2030. It creates a Vision Zero Coordinator, a public advisory commission, and mandates annual reporting and public meetings.",Maryland Department of Transportation,"Drivers, pedestrians, bicyclists, and local and state transportation agencies in Maryland","The bill does not directly address small business failure rates, but it involves infrastructure and safety improvements that could indirectly benefit local businesses by making transportation safer and more efficient.",2.0
2024 Regular Session,SB0360,Budget Bill (Fiscal Year 2025),"Making the proposed appropriations contained in the State Budget for the fiscal year ending June 30, 2025, in accordance with Article III, Section 52 of the Maryland Constitution; etc.","The bill is a comprehensive fiscal appropriations act for the State of Maryland for fiscal years 2024 and 2025, including supplemental budgets, amendments, and specific allocations for various state agencies, programs, and projects across multiple sectors such as education, transportation, health, public safety, and more.","The Department of Budget and Management is responsible for implementing the programs, overseeing allocations, and managing the fiscal operations as outlined in the bill.","The stakeholders impacted include state agencies, local governments, educational institutions, healthcare providers, public safety organizations, and Maryland residents who benefit from the funded programs and services.","The bill allocates funds for various programs that support small businesses, workforce development, and economic growth, which can contribute to reducing small business failures, but the direct impact is not explicitly quantified.",7.0
2024 Regular Session,SB0361,"Creation of a State Debt - Maryland Consolidated Capital Bond Loan of 2024, and the Maryland Consolidated Capital Bond Loans of 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, and 2023","Authorizing the creation of a State Debt in the amount of $1,845,046,000, the proceeds to be used for certain necessary building, construction, demolition, planning, renovation, conversion, replacement, and capital equipment purchases of the State, for acquiring certain real estate in connection therewith, and for grants to certain subdivisions and other organizations for certain development and improvement purposes, subject to certain matching fund requirements; etc.","The bill authorizes the creation of multiple state debt bonds totaling approximately $1.85 billion for various public projects across Maryland, including infrastructure, education, health, transportation, and community development, with specific provisions for project funding, matching funds, and project oversight.","The Board of Public Works, Maryland Department of General Services, and various state agencies and departments responsible for specific projects.","Residents, local governments, educational institutions, healthcare providers, community organizations, and businesses across Maryland.","The bill includes provisions for grants and funding that support community development, infrastructure, and local projects, which can help reduce small business failures by improving local economic conditions and infrastructure.",6.0
2024 Regular Session,SB0362,Budget Reconciliation and Financing Act of 2024,"Altering or repealing certain required appropriations; authorizing the use of certain funds for certain purposes; altering, from December 1, 2024, to January 15, 2027, the date by which the Accountability and Implementation Board has to conduct and submit a certain independent evaluation; altering the sales and use tax rate on certain electronic smoking devices; repealing a certain small business relief tax credit; requiring interest earnings for certain special funds to accrue to the General Fund of the State during certain fiscal years; etc.","The bill makes various changes to Maryland's budget, funding formulas, taxes, and programs, including adjustments to education funding, transportation, healthcare, and environmental programs, and introduces new fees and taxes such as impact fees on transportation network companies and tobacco products.","Maryland Department of Education, Maryland Department of Transportation, Maryland Higher Education Commission, Maryland Trauma Physician Services Fund, Maryland Police Training and Standards Commission, Maryland Department of Health, Maryland Department of Natural Resources, Maryland Department of State Police, Maryland Comptroller, and other relevant state agencies.","Students, educators, small businesses, healthcare providers, trauma centers, law enforcement agencies, transportation companies, tobacco consumers, and residents of Maryland.","The bill includes provisions that could impact small businesses, such as changes in licensing fees, taxes, and program funding, which may influence small business success rates, but the direct impact on failure reduction is not explicitly quantified.",4.0
2024 Regular Session,SB0368,State Retirement and Pension System - Military Service Credit - Eligibility,"Repealing a limitation for members of the State Retirement and Pension System to receive certain service credit for active duty with the commissioned corps of the Public Health Service, the National Oceanic and Atmospheric Administration, or the Coast and Geodetic Survey.","The bill repeals a restriction that limited members of the Maryland State Retirement and Pension System from earning service credit for active duty with certain U.S. government agencies, specifically the Public Health Service, NOAA, or the Coast and Geodetic Survey.",Maryland State Retirement and Pension System,Members of the Maryland State Retirement and Pension System who have served in the military or related agencies,"The bill does not directly impact small business failure rates, as it pertains to military service credit for retirement benefits.",1.0
2024 Regular Session,SB0371,Maryland Medical Assistance Program - Personal Care Aides - Wage Reports,"Requiring residential service agencies to submit certain reports to the Maryland Department of Labor regarding wage rates for personal care aides by September 1 each year, beginning in 2025; and requiring the Maryland Department of Health to report to the Senate Finance Committee and the House Health and Government Operations Committee by the 180th day after the release of the final federal Ensuring Access to Medicaid Services rule on an overview of the final rule and plans or steps that the Department will take to operationalize the rule.","The bill requires residential service agencies to submit annual wage reports for personal care aides to the Maryland Department of Labor, and the Department of Health to report on Medicaid reimbursement rates and operational plans related to federal Medicaid rules.",Maryland Department of Labor and Maryland Department of Health,"Personal care aides, residential service agencies, Medicaid recipients, and providers of home- and community-based services in Maryland.","The bill aims to improve transparency and potentially adjust reimbursement rates, which could help reduce small business failures in the home care sector.",7.0
2024 Regular Session,SB0375,State Contracts - Prohibited Provisions,"Prohibiting certain provisions from being included in State contracts; specifying that certain provisions are void if included in a State contract; specifying the applicable law and interpretation of State contracts; exempting a State contract relating to the purchase, redevelopment, or operation of a racing facility or training facility site from the prohibitions; and applying the Act prospectively to State contracts executed on or after October 1, 2024, and to the renewal or extension of a State contract on or after October 1, 2024.","The bill prohibits certain provisions from being included in Maryland state contracts, such as clauses requiring the state to indemnify others without appropriations, binding arbitration, jurisdiction clauses, liability limitations, and automatic renewal clauses, among others. Any such provisions are considered void and unenforceable.",Maryland State Department of General Services or the relevant state agency responsible for contract oversight.,"Maryland state government, contractors, and the public, as the bill impacts how state contracts are drafted and enforced.","The bill primarily targets state contracts and does not directly address small business failure rates, so its impact on small business failure is likely minimal.",2.0
2024 Regular Session,SB0376,Higher Education - University of Maryland School of Medicine and MPowering Joint Steering Council - Funding,"Requiring the Governor to include $5,000,000 in the annual budget for the University of Maryland School of Medicine to provide clinical care at the University of Maryland Capital Region Medical Center; and requiring the Governor to include in the budget for the the MPowering Joint Steering Council to use exclusively on the University of Maryland Institute for Health Computing appropriations of $1,500,000 in fiscal year 2026, $3,000,000 in fiscal year 2027, $4,500,000 in fiscal year 2028, and $6,000,000 in fiscal year 2029 and after.","The bill allocates funding for the University of Maryland School of Medicine to provide clinical care at the University of Maryland Capital Region Medical Center and establishes financial support for the MPowering Joint Steering Council and related initiatives, including the University of Maryland Institute for Health Computing.","The Maryland State Government, specifically the Governor's Office and the Maryland Department of Budget and Management, along with the University of Maryland and the MPowering Joint Steering Council.","Medical students, healthcare providers, patients at the University of Maryland Capital Region Medical Center, university faculty, and the broader Maryland community benefiting from research and healthcare improvements.","The bill does not directly address small business failure reduction, but the increased funding for research and healthcare programs may indirectly support economic stability.",2.0
2024 Regular Session,SB0379,"Task Force to Study Crime Classification - Renaming, Membership, and Duties","Extending the Task Force to Study Crime Classification and renaming it to be the Task Force to Study Crime Reclassification and Penalties; requiring the Task Force to study the penalties for crimes and civil offenses under State law, the potential need for reclassification of certain crimes, the alteration of penalties, and whether certain changes should be made to crimes lacking an explicit mens rea; and
requiring the Task Force to report to the Governor and the General Assembly on or before December 31, 2025.","The bill establishes a Task Force to Study Crime Reclassification and Penalties, which will review and make recommendations on how crimes and violations are classified and penalized under Maryland law, including potential reclassification and penalty adjustments.","The Office of the Attorney General and other designated state agencies such as the Maryland Sentencing Commission and the Governor’s Office of Crime Prevention, Youth, and Victim Services.","Legal professionals, law enforcement, victims of crime, and individuals accused or convicted of crimes in Maryland.","The bill does not directly address small business failure rates, but by potentially clarifying and reforming crime classifications and penalties, it may contribute to a more predictable legal environment.",3.0
2024 Regular Session,SB0394,Catalytic Revitalization Project Tax Credit - Alterations,"Altering the amount of a certain credit against the State income tax that certain persons may claim for certain construction and rehabilitation costs for certain catalytic revitalization projects in the State; repealing a certain limitation on the number of initial tax credit certificates the Secretary of Housing and Community Development may award within a 2-year period; prohibiting the Secretary from revoking a tax credit certificate awarded on or before July 1, 2024, except under certain circumstances; etc.","The bill modifies the Maryland catalytic revitalization project tax credit program by increasing the credit amount, removing certain application and award limitations, and establishing procedures for project phases and compliance. It also prevents revocation of tax credits awarded before July 1, 2024, unless the project ceases rehabilitation.",Maryland Department of Housing and Community Development,"Individuals, nonprofit organizations, and business entities involved in catalytic revitalization projects in Maryland","The bill aims to support revitalization projects by providing increased and more flexible tax credits, which can help reduce the financial risk and failure rate of small businesses and organizations involved in such projects.",8.0
2024 Regular Session,SB0402,Correctional Training Commission - Membership - Alterations,Altering the membership of the Correctional Training Commission; requiring certain members of the Commission appointed by the Governor to represent certain geographic regions; etc.,The bill amends the membership structure of the Maryland Correctional Training Commission by requiring certain members appointed by the Governor to represent specific geographic regions of the state.,Maryland Correctional Training Commission and the Governor's Office,"Correctional officers and officials from various regions of Maryland, correctional institutions, and the state's criminal justice system",This bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,SB0417,"Election Administration - State Administrator, Local Boards, and Election Directors","Requiring the State Board of Elections to evaluate the performance of the State Administrator of Elections; requiring the State Administrator to provide a performance evaluation of the election director of each local board of elections to the local board; requiring each local board to confer with the State Administrator in appointing an election director, maintain a warehouse, and provide for early voting center expenses; requiring, rather than authorizing, election directors to take certain actions; etc.","The bill enhances election administration in Maryland by requiring the State Board of Elections to evaluate the performance of the State Administrator of Elections annually, clarifies the roles and responsibilities of election directors and local boards, and mandates specific actions related to voting system security and election procedures.",Maryland State Board of Elections and the State Administrator of Elections,"Voters, local election officials, and election staff in Maryland","The bill does not directly address small business failure rates, but by improving election administration, it may contribute to a more stable and transparent electoral environment.",2.0
2024 Regular Session,SB0418,Seed Community Development Anchor Institution Fund - Alterations,Expanding the purpose and use of the Seed Community Development Anchor Institution Fund administered by the Department of Housing and Community Development to include providing grants and loans to anchor institutions for a certain purpose in sustainable communities; and repealing a requirement that certain matching funds be from a private source.,"The bill expands the use and purpose of the Seed Community Development Anchor Institution Fund to include providing grants and loans to anchor institutions for community development projects in sustainable communities and blighted areas, and removes the requirement that matching funds come from private sources.",Department of Housing and Community Development,"Anchor institutions, community organizations, residents of sustainable communities and blighted areas in Maryland","The bill includes provisions for financing assistance for small businesses, which could help reduce small business failure rates in targeted areas.",7.0
2024 Regular Session,SB0423,Real Property - Recordation - Procedures,"Requiring a county treasurer, tax collector, or director of finance to provide a certificate enumerating certain taxes, assessments, and charges against a property and to establish certain procedures to facilitate the issuance of a certificate; requiring a collecting agent presented with a certificate to endorse a deed on payment of transfer and recordation taxes and all charges stated in the certificate and establishing that this endorsement is sufficient authority for a transfer on the assessment books; etc.","The bill updates procedures for recording real estate instruments in Maryland, including requiring counties and municipalities to provide certificates of taxes and charges, facilitating electronic recording and payments, and establishing new procedures to streamline property transfer processes.","County treasurer, tax collector, or director of finance, and the State Department of Assessments and Taxation","Property owners, buyers, real estate professionals, and county or municipal governments involved in property transactions in Maryland.","The bill's streamlined procedures and electronic payment options are expected to reduce delays and complications in property transactions, potentially lowering the risk of small business failure related to real estate dealings.",7.0
2024 Regular Session,SB0428,Garrett County Alcoholic Beverages Act of 2024,"Establishing a resort beer license, a resort beer and wine license, and a beer, wine, and liquor festival license in Garrett County; altering the hours of sale for alcoholic beverages on Sundays for certain licenses; altering the residency requirements for certain applicants for an alcoholic beverages license in the county to require that at least one of the applicants be a resident of the State; prohibiting alcoholic beverages from being brought into places of adult entertainment and consumed or transferred; etc.","The Garrett County Alcoholic Beverages Act of 2024 establishes new alcohol licensing options, modifies sale hours, residency requirements, and penalties related to alcoholic beverages, and introduces regulations for alcohol at festivals and adult entertainment venues within Garrett County.",Garrett County Board of License Commissioners and Maryland Alcoholic Beverages Administration,"Businesses involved in alcohol sales, festival organizers, adult entertainment venues, and residents of Garrett County","The bill provides new licensing options and clearer regulations, which could help small businesses operate more smoothly and reduce the risk of violations that could lead to failure.",6.0
2024 Regular Session,SB0429,"Corporations and Associations - Protestant Episcopal Church, Diocese of Washington","Repealing uncodified provisions of law relating to the Protestant Episcopal Church, Diocese of Washington, commonly known as the ""Vestry Act""; and providing for the governance of religious corporations in union with the Protestant Episcopal Church, Diocese of Washington.","The bill repeals certain laws related to the governance of the Protestant Episcopal Church, Diocese of Washington, and establishes new provisions for religious corporations in union with this church, including recognizing their legal existence and updating governance procedures.",The Maryland Department of Assessments and Taxation or its successor administrative body.,"Religious organizations and congregations in union with the Protestant Episcopal Church in the Diocese of Washington, including their members and associated communities.","The bill primarily addresses religious corporations and does not directly impact small business failure rates, but it simplifies the legal recognition and governance of certain religious entities.",1.0
2024 Regular Session,SB0430,Community Health and Safety Works Grant Program and Fund - Establishment,Establishing the Community Health and Safety Works Grant Program in the Department of Housing and Community Development to support certain eligible projects that improve the quality of life within and economic potential of Maryland communities by making targeted investments in crime prevention strategies to address certain concerns in certain areas; establishing the Community Health and Safety Works Grant Program Fund to provide financial assistance in the form of grants under the provisions of the Program for eligible projects; etc.,"The bill establishes the Community Health and Safety Works Grant Program and Fund in Maryland to provide grants for projects that improve community safety, health, and environmental conditions, including facility improvements, neighborhood security, and violence prevention.",Department of Housing and Community Development,"Maryland communities, residents, local businesses, and nonprofit organizations involved in community safety and development projects.","The bill's focus on community safety and neighborhood improvements may indirectly support small business stability, but it does not specifically target small business failure reduction.",3.0
2024 Regular Session,SB0434,Education - State Library Resource Center - Funding,Altering the calculation of certain funding for the State Library Resource Center for fiscal year 2025 and each fiscal year thereafter.,"The bill adjusts the funding calculation for the State Library Resource Center, increasing the per-resident funding amount for fiscal years 2024 through 2031.",State of Maryland Department of Education,Residents of Maryland who use library services and the State Library Resource Center,The bill does not directly impact small businesses or their failure rates.,1.0
2024 Regular Session,SB0439,Family Law - Victims of Domestic Violence Program - Certification and Grant Fund,"Requiring a victims of domestic violence program to be certified by the federally recognized State domestic violence coalition as a comprehensive domestic violence program; establishing the Victims of Domestic Violence Program Grant Fund as a special, nonlapsing fund in the Governor's Office of Crime Prevention, Youth, and Victim Services;  requiring interest earnings of the Fund to be credited to the Fund; and authorizing the Governor to include in the annual budget bill an appropriation of $5,000,000 to the Fund.","The bill establishes a certification requirement for domestic violence programs, creates the Victims of Domestic Violence Program Grant Fund to support these programs, and outlines how the fund will be managed and funded, including potential annual appropriations.","The Governor’s Office of Crime Prevention, Youth, and Victim Services","Victims of domestic violence and their children in Maryland, domestic violence programs, and related service providers.","The bill primarily focuses on domestic violence programs and funding, with no direct provisions targeting small business failure reduction.",1.0
2024 Regular Session,SB0448,Commission to Study African American Civil War Soldiers in Maryland,"Establishing the Commission to Study African American Civil War Soldiers in Maryland to study the history of the African American soldiers who fought for the Union Army in Maryland and to make findings and recommendations regarding the funding, design, construction, and location of an appropriate memorial dedicated to the African American Civil War soldiers; and requiring the Commission to report its findings and recommendations to the Governor and the General Assembly on or before December 1, 2024.","The bill establishes a Commission to Study African American Civil War Soldiers in Maryland, tasked with researching their history and making recommendations for memorials dedicated to them.","The Department of Veterans Affairs, in coordination with the State Archives, the Department of Planning, and several cultural and historical organizations.","African American Civil War soldiers, Maryland residents, historical and cultural organizations, and the general public interested in Civil War history.",The bill does not directly address small business failure or include programs aimed at reducing small business failure rates.,1.0
2024 Regular Session,SB0452,Courts - Prohibited Liability Agreements - Recreational Facilities,"Establishing that a provision in a contract or agreement relating to the use of a recreational facility that purports to limit the recreational facility's liability, or release the recreational facility from or indemnify or hold harmless the recreational facility against liability, for injury caused by or resulting from the negligence or other wrongful acts of the recreational facility or its agents or on-duty employees is void and unenforceable under certain circumstances.",The bill establishes that any contract or agreement related to the use of recreational facilities that attempts to limit liability or release the facility from responsibility for injuries caused by negligence or wrongful acts is void and unenforceable.,"Maryland courts and judicial system, which will enforce the provisions of the law.","Recreational facility operators and users, including the general public who use gyms, swimming pools, and other recreational facilities.","The bill could reduce legal liabilities for recreational facilities, potentially decreasing the risk of lawsuits and financial failure.",7.0
2024 Regular Session,SB0468,Criminal Law - Private Home Detention Monitoring - Notification,Requiring a private home detention monitoring agency to notify the court within 24 hours after a defendant subject to home monitoring as a condition of pretrial release has violated a condition of home detention monitoring; requiring a private home detention monitoring agency to notify the Division of Parole and Probation within 1 hour after an individual subject to home monitoring as a condition of probation violated a condition of home detention monitoring; etc.,"The bill enhances notification requirements for private home detention monitoring agencies when a monitored individual violates conditions, tampering with equipment, or enters restricted areas. It also authorizes civil penalties for failure to notify and clarifies procedures for monitoring and violations.","The Maryland Department of Public Safety and Correctional Services, specifically the Division of Parole and Probation, and private home detention monitoring agencies.","Individuals under private home detention monitoring, courts, law enforcement agencies, and the Division of Parole and Probation.","The bill's focus is on monitoring and notification procedures, which are unlikely to have a direct impact on small business failure rates.",1.0
2024 Regular Session,SB0474,Certificate of Public Convenience and Necessity and Related Approvals - Definition of Generating Station (Critical Infrastructure Streamlining Act of 2024),"Altering and establishing the definition of ""generating station"" for the purpose of exempting the construction of certain generating facilities used to produce electricity for the purpose of on-site emergency backup and certain test and maintenance operations from the requirement to obtain a certificate of public convenience and necessity or certain other related approvals under certain circumstances; and altering the distribution of income tax revenue from corporations that is attributable to certain data centers.","The bill redefines 'generating station' to exempt certain small, emergency, and test facilities from requiring a public convenience and necessity certificate, and modifies tax revenue distribution from data centers to support critical infrastructure and backup generation technologies.",Maryland Department of the Environment and the Maryland Energy Administration,"Operators of small, emergency backup, and test generating facilities, data center owners, critical infrastructure facilities, and the general public in Maryland.","The bill potentially reduces barriers for small and emergency backup power generators, which could help small businesses and critical facilities maintain operations during outages, thereby reducing business failure risks.",7.0
2024 Regular Session,SB0478,Families Serve Act of 2024,Authorizing employers to grant a preference in hiring and promotion to spouses of eligible service members; and requiring the appointing authorities in the Executive Branch of State government to apply a credit of 10 points on any selection test for eligible spouses and veterans of certain uniformed services.,"The Families Serve Act of 2024 authorizes Maryland employers to give hiring and promotion preferences to military spouses, veterans, and their families, including applying test score credits for eligible applicants in state employment.",Maryland State Department of Budget and Management and other state appointing authorities in the Executive Branch,"Military spouses, veterans, and their families seeking employment in Maryland state government",The bill primarily impacts state employment practices and does not directly address small business failure rates.,1.0
2024 Regular Session,SB0482,"Governor's Office for Children - Engaging Neighborhoods, Organizations, Unions, Governments, and Households (ENOUGH) Grant Program (ENOUGH Act of 2024)","Establishing the Governor's Office for Children and the Special Secretary of the Governor's Office for Children as the head of the Office; requiring the Special Secretary to chair the Children's Cabinet; requiring the Office to staff the Children's Cabinet; requiring the Children's Cabinet to meet not less than four times each year; requiring the Accountability and Implementation Board, in consultation with certain departments, to submit a certain recommendation to the General Assembly by December 1, 2025; etc.","The bill establishes the ENOUGH grant program to support place-based strategies targeting child poverty, including neighborhood, community, and regional grants, and creates a dedicated fund. It also enhances coordination among state agencies, local governments, and community organizations to improve outcomes for children and families.","The Governor’s Office for Children, specifically the Special Secretary of the Governor’s Office for Children.","Children, youth, families, community organizations, local governments, and small business owners in neighborhoods with high child poverty.","The bill provides funding and support to community organizations and local entities, which can help stabilize neighborhoods and improve economic conditions, potentially reducing small business failures in these areas.",7.0
2024 Regular Session,SB0500,Education - Child Care Career and Professional Development Fund - Alterations,Altering the qualifications for an award from the Child Care Career and Professional Development Fund to include a service obligation to work in an approved child care setting for at least 20 hours per week; requiring the Office of Child Care to prioritize grant awards to certain applicants; requiring award recipients who do not perform the service obligation to repay certain award funding except under certain circumstances; and applying the Act prospectively.,"The bill modifies the qualifications and requirements for awards from the Maryland Child Care Career and Professional Development Fund, including adding a service obligation, prioritizing certain applicants, and establishing repayment conditions for award recipients.","Office of Child Care, Maryland Department of Education","Child care workers, early childhood education students, and child care providers in Maryland","The bill's focus on supporting early childhood education professionals may improve workforce stability, potentially reducing small business failure in child care services.",6.0
2024 Regular Session,SB0524,General Assembly - Committee Chairs and Vice Chairs - Gender-Neutral Language,Altering certain terminology that refers to chairs and vice chairs of committees of the General Assembly to be gender-neutral.,"The bill updates the language used to refer to chairs and vice chairs of Maryland General Assembly committees to be gender-neutral, replacing terms like 'chairman' and 'cochairman' with 'chair' and 'vice chair' across various statutes.",Maryland State Legislature and the Department of Legislative Services responsible for implementing legislative language updates.,"Members of the Maryland General Assembly, legislative staff, and the general public who are affected by the terminology used in legislative processes.","The bill does not directly impact small business failure rates, as it primarily focuses on gender-neutral language in legislative terminology.",1.0
2024 Regular Session,SB0530,Cecil County – Annual Financial Report – Filing Date,Altering the date by which Cecil County is required to file a certain financial report with the Department of Legislative Services.,The bill changes the deadline for Cecil County to file its annual financial report with the Maryland Department of Legislative Services from October 31 to December 31.,Cecil County government and the Maryland Department of Legislative Services,"Cecil County government officials and residents, state agencies relying on county financial reports","The bill does not directly impact small business failure rates, as it pertains to county financial reporting deadlines.",1.0
2024 Regular Session,SB0539,Commercial Law – Consumer Protection – Sale and Resale of Tickets,"Requiring the listing for a ticket and each step of a transaction to purchase a ticket to disclose certain information, including the total price of the ticket; repealing the exceptions to the prohibition against a reseller selling or offering to sell speculative tickets; prohibiting a secondary ticket exchange from providing a marketplace for the resale of a ticket that violates the Act; and requiring a ticket issuer, secondary ticket exchange, or reseller to provide a refund under certain conditions.","The bill establishes regulations for the sale and resale of tickets in Maryland, including disclosure requirements, resale price limits, and refund policies, to protect consumers from unfair practices in the secondary ticket market.",Consumer Protection Division of the Office of the Attorney General,"Consumers purchasing tickets, ticket resellers, ticket issuers, and event organizers in Maryland.","The bill's focus on consumer protection and market regulation aims to create a fairer ticket resale environment, which could help small ticket vendors and resellers succeed by reducing unfair practices and market distortions.",6.0
2024 Regular Session,SB0542,Real Estate Brokers - Brokerage Agreements - Requirements,Requiring items to be included in a brokerage agreement between a real estate broker and a seller or lessor or a buyer or lessee.,"The bill updates requirements for brokerage agreements between real estate brokers and clients, specifying what must be included in these agreements such as termination dates, compensation details, and conditions for earning commissions.",Maryland Real Estate Commission or relevant licensing authority,"Real estate brokers, sellers, buyers, lessors, and lessees in Maryland","By clarifying and standardizing brokerage agreement requirements, the bill aims to reduce misunderstandings and disputes, potentially lowering small business failure related to legal or contractual issues.",7.0
2024 Regular Session,SB0556,Procurement – Construction Contingency Fund,Altering the circumstances under which the Secretaries of Budget and Management and General Services may request the Board of Public Works to authorize a certain expenditure from the Construction Contingency Fund to include consideration of price adjustments for material price fluctuations of identified eligible project-specific materials.,"The bill modifies the conditions under which the Maryland Construction Contingency Fund can be used, including allowing for contract modifications related to significant changes in material prices due to factors like delays, hazardous materials, or force majeure events, with a cap of 10%. It also updates procedures for requesting fund expenditures and contract modifications.",The Maryland Department of General Services and the Maryland State Board of Public Works.,"State government agencies, contractors, and construction project stakeholders involved in Maryland state-funded construction projects.","The bill's provisions for flexible contract modifications and contingency fund use aim to reduce project delays and cost overruns, which can help small businesses involved in state construction projects avoid failure due to financial or contractual issues.",7.0
2024 Regular Session,SB0564,Real Estate Brokers - Licensing - License Renewals and Continuing Education,"Repealing certain processes regarding the expiration of certain licenses for real estate brokers, associate real estate brokers, and real estate salespersons; requiring that certain licenses expire on a staggered basis; modifying and setting certain time frames for certain processes regarding the expiration of certain licenses; authorizing the State Real Estate Commission to set a certain fee under certain circumstances; altering certain regulatory requirements for conducting certain continuing education courses; etc.","The bill updates licensing renewal procedures for real estate brokers, associate brokers, and salespersons in Maryland. It changes license expiration dates to be staggered, modifies continuing education requirements, and allows the Maryland Real Estate Commission to set certain fees. It also authorizes the use of virtual or remote methods for continuing education courses.",Maryland State Real Estate Commission,"Real estate licensees, including brokers, associate brokers, and salespersons in Maryland","By streamlining license renewal processes and updating continuing education requirements, the bill aims to reduce administrative burdens and improve compliance, which can help small real estate businesses operate more smoothly and reduce failure rates.",7.0
2024 Regular Session,SB0579,Primary and Secondary Education - Breakfast and Lunch Programs - Universal Expansion Report,"Requiring the State Department of Education, on or before December 1, 2024, to report to the General Assembly on a cost estimate for providing free breakfast and lunch to all students in public schools in the State; and requiring the Department, as part of its report, to compile research completed in other states that have established universal meal programs and prepare a summary of any findings presented in those reports.","The bill mandates that starting in fiscal year 2026, all students in public schools participating in federal meal programs must be offered free breakfast and lunch that meet USDA standards. It also requires the Maryland Department of Education to report on the costs of providing free meals to all students in public schools by December 2024, and the act is set to expire after one year on June 30, 2025.",Maryland Department of Education,"Students in public schools, especially those eligible for reduced-price or free meals, and the schools participating in meal programs.","The bill's focus on universal free meals for students is unlikely to have a direct impact on small business failure rates, as it primarily involves government-funded meal programs.",1.0
2024 Regular Session,SB0580,Sales and Use Tax - Nonprofit Organizations Maintaining Memorials - Exemption,Providing that the sales and use tax does not apply to a sale by a nonprofit organization that maintains a memorial on property that is owned by the State if the proceeds of the sale are used to maintain a memorial on property that is owned by the State.,"The bill exempts nonprofit organizations from sales and use tax on sales related to maintaining memorials on state-owned property, provided the proceeds are used for that purpose.",Maryland Department of Revenue,Nonprofit organizations maintaining memorials on state-owned property and the general public who visit these memorials.,"The bill could help nonprofit organizations by reducing their tax burden, potentially improving their financial stability and sustainability.",4.0
2024 Regular Session,SB0581,Public School Construction Program - Maryland School for the Blind - State and Local Cost-Share,Altering the State and local cost-share formula for the Public School Construction Program for the Maryland School for the Blind to set the State share at 100%.,"The bill modifies the Public School Construction Program to include the Maryland School for the Blind in the state and local cost-share formula, and establishes a dedicated loan fund to support school construction projects for the Maryland School for the Blind and local governments, with specific funding and repayment provisions.",Interagency Commission on School Construction,"The Maryland School for the Blind, local governments, and school districts involved in school construction projects.",The bill primarily focuses on school construction funding and does not directly address small business failure reduction.,1.0
2024 Regular Session,SB0587,Procurement - Minority Business Participation - Real Property Title Insurance Services Reporting,"Requiring certain reporting relating to minority business participation in State procurement by industry type to include real property title insurance services, including commercial real property title insurance services; and prohibiting the Special Secretary for the Governor's Office of Small, Minority, and Women Business Affairs from waiving a certain reporting requirement related to real property title insurance services.","The bill requires detailed reporting on minority business participation in Maryland state procurement, including a new requirement to report on real property title insurance services, and prohibits waivers of this reporting requirement.","The Governor’s Office of Small, Minority, and Women Business Affairs and the Office of State Procurement in the Department of General Services.",Minority business enterprises participating in Maryland state procurement and the agencies involved in procurement processes.,"The bill aims to improve transparency and accountability in minority business participation, which could help identify barriers and improve success rates for minority businesses.",7.0
